job_title,company,salary,address,experience,due_date,jd
JavaScript Developer,MAGESTORE,Tới 30 triệu,Hà Nội,2 năm,24/08/2023,"Tech stack: Nodejs, Reactjs, AWS, Headless; Do architecture design & solution design in software development for international customers; Write reusable, effective, and scalable JavaScript code. Implement detailed and optimized coding solutions based on high-level instruction from the team leader; Test, update, and optimize the application for performance and security; Troubleshooting and debugging code to identify and resolve issues; Be a driver for improving processes and technology to help deliver a better product experience; Be an active participant in suggesting and implementing improvements to developer workflows and bringing forward new ways of working and technology that helps the team move faster; Other work if required."
Thiết Kế Website,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ NINA,7 - 15 triệu,Hồ Chí Minh,Không yêu cầu kinh nghiệm,20/09/2023,"Được tiếp xúc trực tiếp hỗ trợ khách hàng Tư vấn cho khách hàng về bố cục, màu sắc, chức năng của trang Website Hỗ trợ thiết kế cho khách hàng có trang Website hoàn chỉnh Các công việc khác theo sự phân công của cấp trên"
Business Analyst,CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MB SHINSEI,12 - 50 triệu,Hà Nội,3 năm,20/09/2023,"• Phân tích, làm rõ yêu cầu nghiệp vụ và đưa ra giải pháp cho các yêu cầu nâng cấp/phát triển mới hệ thống. • Tiếp nhận và quản lý danh sách yêu cầu nâng cấp/phát triển hệ thống từ người dùng nghiệp vụ. • Trao đổi, làm rõ yêu cầu, kết hợp khảo sát, phân tích các quy trình nghiệp vụ để đề xuất và thống nhất giải pháp cho các yêu cầu đã tiếp nhậnRà soát, kiểm tra các tài liệu thiết kế, tài liệu hướng dẫn, tài liệu chung của Công ty, đảm bảo đáp ứng đầy đủ, chính xác về yêu cầu nghiệp vụ • Viết/cập nhật các tài liệu URD, FSD. Sign-off tài liệu với các bên liên quan • Quản lý các tài liệu bản cứng, bản mềm của dự án/yêu cầu phụ trách • Thực hiện chức năng của Project Coordinator: - Theo dõi và báo cáo tiến độ phát triển hệ thống - Phối hợp các khâu theo quy trình phát triển phần mềm của công ty - Thực hiện các công việc của thư ký dự án (nếu cần)"
Chuyên Viên IT,Công ty Cổ phần Tập đoàn Karofi,15 - 18 triệu,"Hưng Yên, Hà Nội",Trên 5 năm,13/09/2023,"- Địa điểm làm việc (thường trực): Nhà máy tại Thôn Từ Hồ, xã Yên Phú, huyện Yên Mỹ, tỉnh Hưng Yên. Có xe đưa đón CBNV từ Hà Nội - Hưng Yên (Các điểm đón tại Khuất Duy Tiến/ Hoàng Mai/ Thanh Trì/ Gia Lâm - Phố Nối...). - Tham gia phát triển cơ sở hạ tầng, tài khoản và tài sản thiết bị CNTT cho phòng ban và người dùng. - Triển khai cài đặt, cầu hình hệ thống theo đúng kiến trúc đã thiết kế - Hỗ trợ xử lý yêu cầu cho người dùng; xử lý lỗi liên quan đến hệ thống mạng, server, lỗi phần cứng và lỗi phát sinh của người dùng - Tham gia đào tạo người sử dụng cuối. Lập tài liệu tham gia đào tạo người sử dụng các ứng dụng CNTT - Tham gia triển khai dự án CNTT - Các công việc khác theo sự chỉ đạo của Trưởng bộ phận. - Thời gian làm việc: 8h00 - 17h00, nghỉ các ngày Chủ nhật và 2 ngày Thứ Bảy trong tháng."
Mobile Developer,Lampart,Thoả thuận,Hồ Chí Minh,1 năm,31/08/2023,"- Phát triển và duy trì các ứng dụng mobile trên các nền tảng.- Đọc & hiểu thông số kỹ thuật, phân tích yêu cầu sản phẩm & kiểm tra các thành phần của ứng dụng.- Tạo các tài liệu trong dự án (Basic Design, Detail Design, Database Design)- Theo dõi cập nhật của OS để đề xuất cập nhật ứng dụng tương thích.- Review code và đảm bảo chất lượng code của team."
Python,Công ty cổ phần Công nghệ Sapo,15 - 35 triệu,Hà Nội,1 năm,01/09/2023,"- Tìm hiểu, phân tích quy trình của Odoo (OpenERP) nói chung và quy trình đặc thù của một công ty software để áp dụng vào hệ thống. - Lập trình & tích hợp các module Odoo - Customize Module Odoo theo yêu cầu - Triển khai những chức năng mới, chức năng bổ sung theo yêu cầu"
Thiết Kế UI/ UX Tại Cần Thơ,CÔNG TY TNHH AGILINO,Trên 10 triệu,Cần Thơ,1 năm,09/09/2023,"Bạn có đam mê tạo ra các thiết kế tập trung vào người dùng không? Bạn có nền tảng vững chắc về nguyên tắc UI/UX và các công cụ như Figma? Agilino là một công ty phát triển phần mềm có trụ sở tại Thụy Sĩ & Việt Nam, đang tìm kiếm một Junior UI/UX Designer tài năng và đầy nhiệt huyết để tham gia vào đội ngũ năng động của chúng tôi. Trách nhiệm:• Hợp tác với chủ sở hữu sản phẩm (PO) và các nhà phát triển trong môi trường scrum hoặc kanban để xác định tính năng và nhiệm vụ.• Áp dụng các nguyên tắc kiểm tra sự hữu ích và thiết kế tập trung vào người dùng để tạo ra các giao diện người dùng trực quan và hấp dẫn.• Sử dụng Figma để tạo ra khung dây, nguyên mẫu và thiết kế hình ảnh.• Làm việc với các công cụ thiết kế đồ họa như Canva, Photoshop,...• Làm việc cùng các nhà phát triển để đảm bảo việc triển khai các giải pháp thiết kế.• Tiến hành nghiên cứu người dùng và kiểm tra khả năng sử dụng để thu thập thông tin và điều chỉnh thiết kế.• Liên tục học hỏi và phát triển bằng cách tìm kiếm phản hồi từ các nhà thiết kế và nhà phát triển có kinh nghiệm.• Đóng góp vào môi trường làm việc hợp tác, cởi mở và minh bạch."
Nodejs,Công ty TNHH Bitu Việt Nam,25 - 30 triệu,Hà Nội,3 năm,22/09/2023,"Design and develop Backend System for realtime communication platformAnalyze and develop REST APIs for mobile clientsAnalyze and develop background job systemWork closely with the client app team and product design team to iterate quickly on new features and experimentsContribute to the ideation, technical design, implementation, and testing of product features that empower our business and deliver impact to our customers.Adopt new technologies and apply them to provide scalable system"
Java Developer,CÔNG TY TNHH PHẦN MỀM FPT,Thoả thuận,"Hà Nội, Hồ Chí Minh",2 năm,31/12/2023,"• Provide on-going support to business users for the area you will be assigned to. • Help gather & analyze business user requirements. • Responsible for developing & implementing solutions for the area you will be assigned to. • Support solution design by providing insights on capabilities and best practices of your area. • Work closely with internal teams to implement end-to-end solutions. • Handle end-to-end project coordination and work with the project management & QA team to ensure successful delivery of the solution. • Provide operational support including upgrades, defect fixes and process change activities."
Data Engineer,Công ty TNHH LP Technology,Thoả thuận,Hà Nội,1 năm,30/09/2023,"• Xây dựng giải pháp để đồng bộ, xử lý biến đổi dữ liệu trên các hệ thống: Source systems, ODS, Data Lake.... về DWH/Data mart hoặc Customer Data Platform• Hỗ trợ các Đơn vị nghiệp vụ khi có nhu cầu đồng bộ, khai thác dữ liệu từ hệ thống DWH/DM/CDP• Tham gia các dự án về Data Warehouse/Data Lake theo sự phân công• Thực hiện phân tích, tối ưu các mô hình dữ liệu, truy vấn dữ liệu, báo cáo phân tích,…• Báo cáo định kỳ theo quy định hoặc theo yêu cầu của cấp quản lý trực tiếp."
Kỹ Thuật Dự Án - IT System,CÔNG TY CỔ PHẦN HỆ THỐNG CÔNG NGHỆ ÁNH LAM,15 - 25 triệu,Hồ Chí Minh,2 năm,30/08/2023,"Tìm hiểu, nghiên cứu các sản phẩm, giải pháp công nghệ mới. Phối hợp với bộ phận kinh doanh để khảo sát nhu cầu, nắm bắt yêu cầu kỹ thuật từ khách hàng. Xây dựng, phát triển và trình bày thiết kế các mô hình hạ tầng hệ thống từ trung bình đến lớn. Triển khai và tích hợp các giải pháp hệ thống. Bàn giao và hướng dẫn vận hành hệ thống tới khách hàng. Các công việc khác của nhóm dự án và phòng Kỹ thuật."
Nhân Viên IT,Công ty cổ phần nghiên cứu và phát triển y tế Việt Nam,Tới 15 triệu,Hà Nội,2 năm,07/09/2023,"Công việc chuyên môn- Quản lý hệ thống thiết bị Văn phòng: Máy tính, máy in, photo, mạng Internet, tổng đài điện thoại, các phần mềm và theo dõi các hợp đồng cung cấp các dịch vụ này;- Kiểm tra, đánh giá đề xuất, mua sắm, sửa chữa các thiết bị Văn phòng;- Đầu mối quản lý các phần mềm nhân sự, kế toán, …tiếp nhận, xử lý lỗi hoặc liên hệ bên cung cấp để xử lý;- Triển khai thiết bị cho địa điểm mới hoặc cho nhân sự mới khi được yêu cầu về máy tính, điện thoại, mạng,…;- Bảo trì định kỳ hệ thống máy tính, thiết bị CNTT trong Công ty;- Hỗ trợ đào tạo quy trình sử dụng phần mềm do công ty cung cấp cho người dùng;- Thực hiện các công việc khác theo yêu cầu của cấp trên. Công việc nội bộ- Báo cáo công việc định kỳ hoặc theo yêu cầu;- Tham mưu cho Ban Lãnh đạo Công ty, Trưởng phòng khi có những sáng kiến nhằm nâng cao hiệu quả công việc;- Các công việc phát sinh khác theo chỉ đạo của cấp trên."
IT System / System Administrator,CHI NHÁNH BÌNH THẠNH - CÔNG TY TNHH ADTECHNOLOGY & SNST VIỆT NAM,Thoả thuận,Hồ Chí Minh,Trên 5 năm,11/09/2023,"● Management of PCs, Servers, and Networks in Windows/Linux OS environments.● Possession of network certifications such as CCNA, CCNP, etc.● Ability to write Shell Scripts.● Proficiency in Linux server management, especially CentOS● Managing web servers and FTP servers● Monitoring/control systems."
PHP Developer,Công ty TNHH Zensho Hà Nội System Center,15 - 25 triệu,Hà Nội,2 năm,08/09/2023,"• Tìm hiểu phân tích nghiệp vụ, thiết kế cho các hệ thống workflow và application cho chuỗi hàng nghìn nhà hàng của tập đoàn. • Thực hiện tạo mới các chức năng theo yêu cầu và maintain các ứng dụng đã có.• Đảm bảo chất lượng, tốc độ xử lý và hiệu suất của các ứng dụng và hệ thống khi vận hành. • Phối hợp với Agile Team để định nghĩa, thiết kế và triển khai tính năng mới hiệu quả.• Xác định các vấn đề về kỹ thuật, nghiên cứu và đưa ra để án xử lý, và fixbugs liên quan.• Hỗ trợ xử lý bảo trì nâng cao chất lượng code, hệ thống hóa và tự động hóa các xử lý.• Tạo tài liệu kỹ thuật và process golive lên cloud, iOS/Google App Store• Thực hiện các công việc khác theo sự phân công của Trưởng nhóm và Trưởng Dự án."
"Chuyên Viên Sữa Chữa Main Laptop, Macbook Thu Nhâp 12 - 20 Triệu",CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP HTV (CellphoneS),12 - 20 triệu,Hà Nội,1 năm,15/09/2023,"Tiếp nhận máy từ điều phối viên, tiến hành kiểm tra, bắt các pan bệnh và báo giá dịch vụ Thực hiện các thao tác kỹ thuật: Tháo lắp, thay thế, khò đục IC, hàn linh kiện IC, CPU, Flash... Kiểm tra lại toàn bộ chức năng của máy và đảm bảo chất lượng sau sửa chữa Thực hiện công việc khác theo sự phân công"
Mobile Developer,CÔNG TY CỔ PHẦN TVT GROUP,Trên 16 triệu,Hồ Chí Minh,2 năm,30/09/2023,"Analyze system requirements/specifications. Design, develop and test mobile applications. Coordinate with Project Manager to resolve issues. Support team members to resolve technical issues. Code & cross review code of team members. Continuously discover, evaluate and implement new technologies to maximize development efficiency. Write technical documentation."
