job_title,company,salary,address,experience,due_date,jd
Blockchain Leader,POWERGATE AUSTRALIA (CÔNG TY CỔ PHẦN TẬP ĐOÀN POWERGATE),Thoả thuận,Hà Nội,Trên 5 năm,13/10/2023,"● Tham gia phát triển sản phẩm lĩnh vực Truyền thông xây dựng trên nền tảng công nghệ Blockchain với vai trò là Technical Leader.● Phát triển sản phẩm quy mô lớn, hướng tới khách hàng trên toàn cầu (định giá tới hàng tỷ đô khi thành công)● Sản phẩm có ý tưởng Hay/Thú vị/Sáng tạo bậc nhất trong thế giới Blockchain và Web 3.0"
Asp.Net,Công ty Cổ Phần Công Nghệ ITG,Tới 20 triệu,Hà Nội,1 năm,30/09/2023,"- Tham gia phát triển các dự án phát triển hệ thống quản lý trên nền tảng web (Hệ thống hoạch định tổng thể nguồn lực doanh nghiệp (ERP), Hệ thống quản trị sản xuất (MES), …)- Tham gia phân tích thiết kế dựa trên tài liệu URD- Coding- Đưa giải pháp cho các vấn đề kỹ thuật của dự án- Làm việc với BA, designer để phát triển ứng dụng- Nghiên cứu và áp dụng các công nghệ mới để tối ưu hóa hiệu quả phát triển sản phẩm"
System Admin,Công ty TNHH Công nghệ và Giải pháp CMC Sài Gòn,Thoả thuận,Hồ Chí Minh,1 năm,03/09/2023,"Troubleshoot computer and device hardware related to end-users Install and configure Microsoft products (Windows, Office365, …) System administration about Windows Server; File Server Troubleshoot network related problems (Internet, LAN, Printer, Camera) Onsite at CMC TSSG’s customer company Participate in other jobs as directed by Line Manager"
Scrum Master - Open Deal -Tân Bình,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,Thoả thuận,Hồ Chí Minh,4 năm,06/09/2023,"• We are looking for a Scrum Master to join our team to continue to enhance our platform and build new features with the latest technology.• You will be working on the newest O2O e-commerce platform in Vietnam and beyond.• International environment. English and Vietnamese spoken. You will be working with a super high performance team delivering software that people use every day.Qualifications for Scrum Master• Prior experience on a scrum team• Ability to analyze and think quickly and to resolve conflict.• Knowledgeable in techniques to fill in gaps in the scrum.• Ability to determine what is scrum and what is not.• Experience with successful Agile techniques• Ability to work with and lead a team.• Strong communication, interpersonal and mentoring skills• Ability to adapt to a changing environment.• Self-motivation and ability to stay focused in the middle of distraction."
PHP Developer,Công ty TNHH MTV Vision Việt Nam,Trên 18 triệu,Hà Nội,2 năm,30/09/2023,"-We are in urgent need of enthusiastic and professional PHP developers from at least 1 years experience and strong knowledge in PHP.Typical working day activities:- Coordinate your task with team members in Vietnam.-Write awesome PHP code, unit testing and cross review code.-Report and update your working progress on to your supervisor.-Attend an interesting seminar/presentation about technologies or soft skills provided by your co-workers. Or you can give your own seminar/presentation.-Have fun with your co-workers in a dynamic, innovative and friendly environment"
Developer,FPT Software,Thoả thuận,Hà Nội,3 năm,31/08/2023,"We are seeking a Full-Stack Developer with strong experience in Golang, Python, ReactJS, and Postgres and MongoDB to join our growing team. The successful candidate will have a passion for developing innovative and scalable web applications and the ability to work effectively in a fast-paced, dynamic environment.Key Responsibilities: Design, develop, and maintain web applications using Golang, Python, ReactJS, Postgres, and MongoDB. Collaborate with cross-functional teams to identify and solve complex software problems. Develop and maintain REST APIs for various web applications. Write clean, maintainable, and efficient code. Participate in code and design reviews to ensure code quality and compliance with best practices. Continuously monitor and improve the performance of the applications. Stay current with the latest web development technologies and trends."
PHP Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG NETVIET,8 - 15 triệu,Hà Nội,1 năm,02/09/2023,"• Phát triển các website của công ty (WordPress): Nâng cao hiệu suất và tốc độ, tăng trải nghiệm người dùng, nâng cao điểm google pagespeed để tối ưu SEO, tối ưu ads.• Bảo trì, thêm mới các tính năng cho các hệ thống nội bộ nhằm nâng cao hiệu suất công việc.• Phát triển các sản phẩm mới của công ty trong tương lai sử dụng PHP.• Hỗ trợ bảo trì, phát triển các website (Wordpress) đối tác của công ty."
Tester,VNDIRECT,Thoả thuận,Hà Nội,2 năm,10/09/2023,"- Phân tích đề bài từ BA để chuẩn bị kịch bản test - Viết testcase cho việc thử nghiệm hệ thống, thực hiện test API Testing, Web Testing - Thực hiện test case và theo dõi kết quả test- Báo cáo các bug trong quá trình test - Chịu trách nhiệm cho: + Các lỗi phát sinh trong quá trình kiểm thử + Các jira đáp ứng đủ yêu cầu golive + Test case đáp ứng đầu bài nghiệp vụ - Đo lường, phân tích và báo cáo các dữ liệu thử nhiệm nhằm đánh giá chất lượng của sản phẩm. - Tham gia các dự án về tài chính, chứng khoán."
Mobile Developer,CÔNG TY TNHH THƯƠNG MẠI DƯỢC PHẨM ĐÔNG Á,15 - 35 triệu,Hà Nội,1 năm,10/09/2023,"Do nhu cầu mở rộng kinh doanh, Đông Á Group tuyển dụng nhân sự cho Công ty thành viên về lĩnh vực Công nghệ. • Tham gia thiết kế, xây dựng và triển khai ứng dụng mobile với React Native• Có cơ hội tham gia toàn bộ các phase xây dựng phát triển ứng dụng từ thiết kế, thử nghiệm, phát hành và tối ưu hiệu suất hệ thống.• Thực hiện các công việc được cấp trên giao phó"
Lập Trình Viên PHP,Công ty TNHH Phương Nam Vina,10 - 20 triệu,Hồ Chí Minh,1 năm,30/09/2023,"- Cắt HTML, CSS dựa trên file thiết kế PSD, Figma,... dựng sẵn.- Lập trình web sử dụng code PHP & framework PHP theo yêu cầu công ty.- Chỉnh sửa, nâng cấp, cải tiến website theo nhu cầu sử dụng của khách hàng.- Một số công việc liên quan khác thuộc bộ phận kỹ thuật lập trình web."
Designer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG NETVIET,Thoả thuận,Hà Nội,Không yêu cầu kinh nghiệm,30/11/2023,"- Thiết kế UI/UX cho các dự án website, App, Game. - Lên ý tưởng cho các mẫu quảng cáo trên các kênh truyền thông. - Tìm hiểu thị trường và xây dưng định hướng mĩ thuật cho các dự án của công ty. - Viết art document. - Liên tục cập nhật các xu hướng mới trong ngành. - Phối hợp với các bộ phận khác để thực hiện những công việc liên quan đến thiết kế.     "
Nhân Viên Triển Khai - Hỗ Trợ Sử Dụng Phần Mềm,CÔNG TY TNHH WEB NHÀ THUỐC,6 - 10 triệu,Hà Nội,Không yêu cầu kinh nghiệm,17/09/2023,"- Giới thiệu, hướng dẫn và hỗ trợ sử dụng phần mềm sau khi triển khai. Sản phẩm: PHẦN MỀM QUẢN LÝ nhà cho thuốc/quầy thuốc, phòng khám, công ty dược. - Triển khai và cài đặt sản phẩm cho khách hàng. - Tiếp nhận yêu cầu cần tư vấn, hỗ trợ và xử lý các yêu cầu trong quá trình triển khai. - Đào tạo hướng dẫn khách hàng sử dụng phần mềm của công ty. - Giải đáp các thắc mắc, khiếu nại của khách hàng và hỗ trợ về dịch vụ kỹ thuật trực tiếp thông qua teamviewer/ hotline hoặc gián tiếp thông qua slide/video. - Tổng kết và báo cáo các số liệu liên quan đến công việc."
Chuyên Viên Tích Hợp Hệ Thống - An Ninh Bảo Mật (Up To 25M),Công Ty Cổ Phần 3H INC Việt Nam,Trên 25 triệu,Hà Nội,1 năm,30/09/2023,"Thiết kế và triển khai hệ thống bảo mật, hệ thống ảo hóa, đặc biệt hệ thống mạng của Ngân hàng, Tổ chức tài chính, Tập đoàn, Sàn giao dịch online; Xây dựng các chính sách, quy trình, quy định về an toàn thông tin; Cấu hình, quản lý, vận hành, hỗ trợ hệ thống, dịch vụ an ninh bảo mật, giám sát và xử lý các sự cố về an ninh bảo mật; Hỗ trợ các vấn đề liên quan đến triển khai dự án (tư vấn khách hàng về việc lựa chọn sản phẩm, giải pháp…); Chăm sóc khách hàng sau triển khai dự án; Nguyên cứu các công nghệ, kỹ thuật, ứng dụng phục vụ đảm bảo an toàn bảo mật cho hệ thống; Kiểm tra, đánh giá các lỗ hổng bảo mật cho các ứng dụng, hệ thống; Triển khai cài đặt cấu hình hệ thống ảo hóa VMWare, Hyper-V, Private Cloud; Tham gia lập và lưu trữ các hồ sơ liên quan đến quá trình triển khai."
Lập Trình Viên PHP,CTY TNHH QUẢNG CÁO VÀ GIẢI PHÁP PHẦN MỀM TÂN GIA BA,Thoả thuận,Hồ Chí Minh,2 năm,15/09/2023,"- Làm việc về website PHP / Laravel - Tham gia nghiên cứu, xây dựng phát triển website, phần mềm của công ty - Xây dựng, chỉnh sửa các website trên nền tảng Laravel / PHP... - Xử lý lỗi và tối ưu hóa vận hành cho các tính năng hiện có. - Công việc cụ thể trao đổi khi phỏng vấn"
Tester,iAPP TECHASIANS,Tới 20 triệu,Hà Nội,2 năm,14/09/2023,"● Đọc tài liệu, lên kế hoạch viết testcase, test theo yêu cầu của leader● Viết testcase, execute test case● Report lỗi cho quản lý/ developer"
Java Developer,"Bigtree Technology and Consulting Vietnam Co., Ltd.","Tới 1,000 USD",Hà Nội,2 năm,15/09/2023,"- Phỏng vấn Online. - Ứng viên được tự quyết định thời gian làm việc 8h hằng ngày của mình trong khung giờ từ 7h - 21h (đảm bảo đủ số giờ làm việc, đảm bảo việc đối ứng với khách hàng và các thành viên khác trong team kịp thời. Không chấp nhận làm 2 công ty song song cùng 1 lúc). - Lên công ty vào thứ 5 hằng tuần. Trong tương lai tần suất lên công ty có thể tăng lên theo chỉ thị của ban giám đốc. (cần chuẩn bị tâm lý trước). Nghỉ thứ 7, chủ nhật. - Tham gia 1 trong các dự án sau: Phát triển WEB Application (Trao đổi giải thưởng, Hỗ trợ kinh doanh, Online Shopping,...)Phát triển App Điện thoại (EV Car Sharing, Quản lý giao hàng, nhận tiền khi giao hàng,...)Phát triển Robotic Process Automation: Tự động hóa các nghiệp vụ back office,..."
Unity Developer,Công Ty Cổ Phần Bliss,Tới 45 triệu,Hồ Chí Minh,2 năm,09/09/2023,Implement and improve a variety of fast and efficient core software using Unity Maintain and build code using C for all assigned work streams Help provide architectural oversight across the entire application Collaborate to devise optimal engineering solutions to technical challenges
Frontend Developer,CÔNG TY TNHH GLEADS,"1,000 - 1,600 USD",Hồ Chí Minh,4 năm,10/09/2023,"Build, maintain and develop the company’s products (website, web applications, …) Recommend and practice in front-end architecture including performance optimization, accessibility, and usability. Writing unit testing/ component testing and debugging Code. Design and build reusable components. Collaborate with Backend Dev to implement and improve design components. Organize / join tech-talk, update new technologies, external knowledge."
Nhân Viên Marketing,CÔNG TY CỔ PHẦN CÔNG NGHỆ 1BITLAB,10 - 15 triệu,Hà Nội,Không yêu cầu kinh nghiệm,10/09/2023,"Triển khai các hoạt động Digital Marketing tổng thể trên website và các kênh online gồm: Facebook ads, Google Ads, SEO, Tiktok Ads, Youtube, Linkedin, Zalo… Lên chiến lược để thúc đẩy lượng truy cập website và theo dõi tỷ lệ chuyển đổi, cải tiến website. Xây dựng chiến lược phát triển Performance tất cả các kênh truyền thông như Website, Facebook, Linkedin, Tiktok… Xây dựng chiến lược truyền thông và chiến lược Marketing để tiếp cận với các đối tượng, nhóm khách hàng trên các nền tảng kỹ thuật số (Mạng xã hội, website,…) Đo lường, tối ưu, báo cáo hiệu suất của các chiến dịch đã và đang triển khai. Phân tích, lập kế hoạch chi tiết (Phân bổ ngân sách, KPI) làm việc, theo dõi các hạng mục Digital nhằm tối ưu chi phí và kết quả. Đánh giá nghiên cứu khách hàng, tình hình thị trường và dữ liệu của đối thủ cạnh tranh, cập nhật những kênh truyền thông mới nhằm phát triển thương hiệu. Lên ý tưởng, xây dựng kịch bản và phối hợp triển khai các hoạt động ngoại khoá, sự kiện nội bộ của công ty Phối hợp với các bộ phận để duy trì hoạt động kênh truyền thông của công ty (Facebook, Linkedin, Zalo, Tiktok, Website,…): Tạo và chỉnh sửa (nội dung bài viết, video, hình ảnh) các ấn phẩm truyền thông, truyền đạt các hoạt động của công ty, thông tin sản phẩm/dịch vụ của công ty,… Quản lý, lưu trữ các tài liệu Marketing của công ty theo dòng sự kiện diễn ra từng năm Thực hiện các công việc khác dưới sự chỉ đạo của Ban Giám đốc"
Java Developer,Công ty Cổ phần Thời Trang Yody,18 - 35 triệu,Hà Nội & 2 nơi khác,2 năm,31/08/2023,"- Xây dựng và phát triển Ecommerce Platform của Yody- Phát triển hệ thống backend/Core API nghiệp vụ bằng JAVA- Xây dựng các công cụ/tiện ích/ interface tích hợp các nền tảng của công ty- Tham gia vào phân tích & thiết kế tính năng cho phần mềm- Hỗ trợ và cải tiến trong quá trình vận hành- Thời gian làm việc: 8h-17h, nghỉ các Chủ nhật"
Back End Developer,Công ty CP Minh Phương Logistics,Thoả thuận,Hồ Chí Minh,2 năm,21/09/2023,"• Select the most appropriate technical solution (architecture, design approaches or preliminary designs) and then demonstrate proposed solution to the client and the development team.• Understand non-functional requirements such as performance, scalability, security, extensibility, maintainability and consult Technical Leads to create solutions meeting those.• Design the software application based on architecture and requirements (design packages, design subsystems).• Write design/implementation/test cases/user guide documentation.• Participate in design/code reviews/customer support/problem solving meetings.• Coding, implementing, maintain, and troubleshoot software.• Participates in R&D, training and organization innovation and deployment activities.• Make presentation for new tools/technology.• Support Tech Lead and Manager if other requirements and assignments."
UI/UX Designer,CÔNG TY TNHH FRIENDIFY AI,Tới 20 triệu,Hồ Chí Minh,2 năm,30/09/2023,"Participating in product development, UI/UX design for App, Website, Facebook,... for all company projects. Work with Marketing department to design Digital Banner, Poster, Brochure, catalog, profile for company's communication channels such as Website, Facebook, Youtube,... Create design items that are consistent with the company's brand and project goals. Responsible for collecting and evaluating user requirements and converting them into design ideas that meet customer needs and create a better user experience. Develop and conceptualize a comprehensive UX/UI design strategy for the project Perform other tasks as assigned by direct manager."
IT Manager,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,Thoả thuận,Hồ Chí Minh,5 năm,04/09/2023,"• We are looking for a IT Manager to join our team to continue to enhance our platform and build new features with the latest technology.• You will be working on the newest O2O e-commerce platform in Vietnam and beyond.• International environment. English and Vietnamese spoken. You will be working with a super high performance team delivering software that people use every day.• As an IT Manager/Engineering Manager at Mediastep, you will play a pivotal role in leading our talented team of engineers and technical professionals. Your strong leadership, technical expertise, and strategic thinking will drive the development, implementation, and maintenance of our IT systems and infrastructure. You will work collaboratively with cross-functional teams to ensure the seamless integration of technology solutions, enabling our business to scale and thrive.- Responsibilities:• Team Leadership: Lead and manage a diverse team of IT engineers and technical staff, fostering a collaborative and innovative work environment. Provide mentorship, guidance, and professional development opportunities to team members.• Technology Strategy: Collaborate with senior leadership to define and execute the IT and engineering strategy that aligns with the company's overall goals. Identify and assess new technologies that can enhance our competitive edge and business operations.• System Architecture and Design: Design and oversee the implementation of robust and scalable IT systems, including networks, servers, databases, and software applications, ensuring high performance, availability, and security.• Technology Implementation: Lead the adoption of new technologies by evaluating their feasibility, developing implementation plans, and managing deployment processes.• Project Management: Plan, execute, and monitor IT projects from inception to completion. Coordinate with cross-functional teams to ensure timely delivery of projects within scope and budget.• Security and Compliance: Establish and enforce security protocols, data protection measures, and industry best practices to safeguard sensitive information and ensure compliance with relevant regulations.• Collaboration: Collaborate with other department heads to understand their technology needs and provide guidance on leveraging IT solutions to streamline processes and enhance efficiency.• Vendor Management: Evaluate and manage relationships with technology vendors, negotiate contracts, and oversee the procurement of hardware, software, and services.• Technical Troubleshooting: Provide expert-level support and guidance to address complex technical issues, system outages, and emergencies.• Budget Management: Develop and manage the IT budget, ensuring optimal allocation of resources for various projects, maintenance, and upgrades."
Lập Trình Viên Mobile,Công ty Cổ Phần Symper Việt Nam,12 - 20 triệu,Hà Nội,1 năm,30/09/2023,"- Tham gia vào quá trình phân tích, thiết kế, xây dựng, kiểm thử các sản phẩm trong hệ sinh thái sản phẩm phục vụ Doanh nghiệp của SYMPER từ Mobile- Đóng góp ý kiến, giải pháp, phản biện cho các vấn đề kỹ thuật ( và cả các vẫn đề nghiệp vụ)- Tham gia tối ưu hóa ứng dụng về mặt tốc độ và khả năng mở rộng- Nghiên cứu các công nghệ mới nhất- Đề xuất và hiện thực giải pháp khắc phục vấn đề performance, cải tiến UI/UX của ứng dụng."
Tester,CÔNG TY CỔ PHẦN GIẢI PHÁP ATOM,Trên 4.6 triệu,Hồ Chí Minh,Không yêu cầu kinh nghiệm,07/09/2023,"• Xây dựng kế hoạch (testplan) và thiết kế mô hình kiểm thử (testcase) cho phần mềm dựa trên tài liệu yêu cầu, tài liệu đặc tả nghiệp vụ và thiết kế. • Thực hiện kiểm thử dựa trên testplan và testcase. • Tìm lỗi sản phẩm, phân tích nguyên nhân gây ra lỗi và quản lý, theo dõi hoạt động sửa lỗi. • Xây dựng tài liệu và đào tạo người dùng cuối. • Làm báo cáo kiểm thử và đánh giá chất lượng sản phẩm trước khi bàn giao cho khách hàng. • Đảm bảo tuân thủ việc thực hiện các quy trình, quy định quản lý chất lượng của công ty. • Đảm bảo tiến độ công việc và báo cáo cho team leader. "
Kỹ Sư Cầu Nối,CÔNG TY CỔ PHẦN AHT TECH,Tới 40 triệu,Hà Nội,1 năm,16/09/2023,"Là cầu nối giữa khách hàng Nhật Bản và đội dự án Offshore ở Việt Nam, làm việc trực tiếp với khách hàng Nhật Bản: giao tiếp, thương lượng, đàm phán và phân tích các yêu cầu của dự án… và truyền đạt cho đội dự án ở Việt NamChịu trách nhiệm quản lý dự án của công ty toàn bộ các giai đoạn cho tới khi đóng dự án bao gồm: xác định phạm vi dự án, lên kế hoạch, sắp xếp nguồn lực triển khai, quản lý project budget, resource, risk& issues và tiến độ dự án theo thỏa thuận với khách hàng đảm bảo dự án hoàn thành đúng deadline, đúng quy trình và đạt chất lượng yêu cầuLà đầu mối liên lạc với khách hàng, và quản lý mối quan hệ với tất cả các bên liên quan đến dự ánTrong quá trình triển khai, phối hợp với Tech team để giải quyết các vấn đề kỹ thuật phát sinh, và phối hợp với QA team để đảm bảo dự án phát triển đúng theo quy trình/quy chuẩn của công tyTổ chức việc xây dựng và duy trì tài liệu dự án, bàn giao đơn vị lưu trữ tài liệu dự án sau khi kết thúc dự án;Chịu trách nhiệm báo cáo PMO về toàn bộ các operation của team (hàng tuần, hàng tháng, ad-hoc)Làm case study, support bid dự án, phối hợp với các team nội bộ, sale, onshore và client để chuẩn bị resource cho dự ánTham gia các buổi training nâng cao kỹ năng dành cho core team: softskill, workshop,Tổ chức hoạt động thúc đẩy giao tiếp, truyền động lực cho team member để nâng cao kết quả làm việc của team dự án"
Reactjs,CÔNG TY TNHH CÔNG NGHỆ BLUE BELT,"Tới 3,000 USD",Hà Nội,5 năm,10/09/2023,"Create user information solutions by coding, developing, implementing, and maintaining Java based components and interfaces Participate in designing and developing systems/platforms Code, test and review code of other members Develop user interfaces to internet/intranet applications by setting expectations and features priorities throughout thedevelopment life cycle Determine design methodologies and tool sets Complete programming using languages and software products Design and conducting tests"
Backend Developer,CÔNG TY TNHH GLEADS,"Tới 1,800 USD",Hồ Chí Minh,4 năm,26/08/2023,"Build and develop website APIs for CRM systems by using ExpressJs framework, and integrating with 3rd systems such as Google, Xero, etc. Maintain a quality, safe and secure  system. Keep updating new knowledge, and techniques to improve system performance. Solve any technical problems arise."
Software Developer,CÔNG TY TNHH DEK TECHNOLOGIES VIỆT NAM,Thoả thuận,Hồ Chí Minh,1 năm,30/09/2023,"Develop simulation test tools for Radio 4G and 5G products Troubleshoot issues and provide corrections for simulation tools Develop and execute manual and automated testing procedures Optimize simulation tools and verify the transmission performance between Cloud Radio Access Network and User Equipment. Support activities primed by other groups such as hardware bring-up, hardware/software integration, performance verification, etc."
Nodejs,3S Intersoft JSC,Tới 20 triệu,Đà Nẵng,1 năm,31/08/2023,"・Develop the system by NodeJS with Typescript・Connect and use RDBMS (PostgreSQL, DB2) and NoSQL (Redis, Cloudant) databases. ・Create automation tests with Jest and Cypress"
Backend Developer,Công ty cổ phần truyền thông đa phương tiện Gia Minh,Tới 15 triệu,Hà Nội,Dưới 1 năm,30/09/2023,"• Tham gia phát triển các dự án liên quan Golang của công ty; • Phân tích yêu cầu, thiết kế chi tiết, lập kế hoạch phát triển dự án; • Hỗ trợ các thành viên trong nhóm cùng phát triển kỹ năng; • Nghiên cứu và ứng dụng các công nghệ mới vào sản phẩm."
Lập Trình Viên,CÔNG TY CỔ PHẦN AMITGROUP,Thoả thuận,Hồ Chí Minh,2 năm,31/08/2023,"Thiết kế các giao diện người dùng thu hút và dễ sử dụng để cải thiện trải nghiệm người dùng. Lập trình với các ngôn ngữ như HTML, CSS và JavaScript, và các framework như Reactjs, Angular, Vue, và Next.js. Phát triển các tính năng và chức năng mới trên trang web hoặc ứng dụng. Tối ưu hóa hiệu suất của trang web hoặc ứng dụng, đảm bảo tải trang nhanh và giảm thiểu thời gian phản hồi từ máy chủ. Kiểm tra và sửa lỗi trên trang web hoặc ứng dụng, đảm bảo tính ổn định và độ tin cậy. Quản lý trạng thái ứng dụng bằng cách sử dụng các trạng thái cục bộ (local state) hoặc các trạng thái toàn cục (global state). Tương tác với dữ liệu từ backend bằng cách sử dụng các API như RESTful API hoặc GraphQL API. Xây dựng các thành phần /Module có thể tái sử dụng ở các Website/WebApp khác Thực hiện Unit Test bằng Jest/React Testing Library/Jasmine."
Fullstack Developer,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,18 - 25 triệu,Hà Nội,2 năm,20/09/2023,"- Lập trình, phát triển các hệ thống, ứng dụng của Ngân hàng.- Phát triển hoặc phối hợp cùng các nhà cung cấp phát triển và triển khai các giải pháp CNTT.- Quản lý, phát triển dịch vụ tích hợp với các hệ thống core như: T24, WAY4, BPM, CRM, CIC ...- Nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới vào việc phát triển: GraphQL, Docker Container (K8s), CICD, EventSourcing, CQRS, NoSQL ...- Duy trì hoạt động của các sản phẩm dịch vụ trong phạm vi quản lý."
Devops Engineer,TNHH Pirago Việt Nam,Tới 50 triệu,Hà Nội,1 năm,22/09/2023,"Hỗ trợ thiết kế, xây dựng hệ thống phát triển cho các dự án. Triển khai, hỗ trợ vận hành hệ thống trên môi trường production. Xây dựng, nâng cấp, cải tiến hệ thống áp dụng các phương thức automation (CI/CD, Codepipeline,...) Làm việc tốt với các Cloud Provider phổ biến: AWS, GCP, Azure. Giao tiếp, liên kết với đội phát triển để thiết lập, điều tra các vấn đề xảy ra trong quá trình vận hành và phát triển. Tham gia tư vấn xây dựng giải pháp về hệ thống cho khách hàng."
Technical Leader,WISECOMMERCE,Thoả thuận,Hà Nội,Trên 5 năm,30/09/2023,"• Work closely with a Project Manager and the designers, other developers, and DevOps Engineers in each project.• Analyze product requirements and specifications to create, communicate, and implement & suggest the technical design. (Jira)• Decide which technologies are going to be used in the project and define the overall architecture and layouts.• Learn new technologies, languages, and techniques so that you are able to adapt to the requirements of the project.• Collaborate with other team members to define the internal processes and initiatives to help the company accomplish its mission.• Review the source code of other team members for evaluation and improvement."
Backend Developer,CÔNG TY TNHH TRUYỀN THÔNG VÀ DỊCH VỤ DU LỊCH CẢM XÚC VIỆT,Tới 45 triệu,Hà Nội,3 năm,01/09/2023,"- Tham gia xây dựng các sản phẩm, dịch vụ về AI/ChatBot trên nền web bằng Java / Javascript / HTML5 / CSS cho desktop, mobile phone, và tablet. - Tham gia phát triển và xử lý ngôn ngữ tự nhiên NLU, NLP, ...- Lập trình và triển khai ứng dụng web dựa trên nền tảng công nghệ web: Java, RESTful API- Trao đổi và báo cáo công việc với đồng nghiệp ở Việt Nam và ở Hàn Quốc thông qua chat, email, và tài liệu.- Các công việc khác do Quản lý phân công"
Lập Trình PHP,CTY CỔ PHẦN MYSPA,Thoả thuận,Hồ Chí Minh,5 năm,01/09/2023,"- Lập trình web trên nền tảng PHP.- Xây dựng các ứng dụng web, webservice.- Làm việc với những dự án mới mang tính sáng tạo, hữu ích với xã hội và đáp ứng yêu cầu khách hàng.- Bảo trì, nâng cấp phần mềm, ứng dụng của công ty theo yêu cầu.- Tham gia đào tạo, trao đổi kinh nghiệm nội bộ.- Quản trị hiệu năng, load testing và review code; đóng góp cho sự cải thiện của hệ thống kỹ thuật - Quản lý đội nhóm - Các công việc khác theo chỉ đạo của cấp trên."
Java Developer,Công ty Cổ Phần Bản Viên,Thoả thuận,Đà Nẵng,1 năm,14/09/2023,"You have to demonstrate the capabilities to communicate and deal with all technical stuff daily. Support and develop software engineers by providing advice, coaching and educational opportunities. Junior and mid-level engineers will be mentored by experienced leaders. Collaborate with coworkers to brainstorm and provide solutions. Review and debug code, document and monitor."
Developer,Công Ty Cổ Phần Bliss,15 - 25 triệu,Hồ Chí Minh,1 năm,15/09/2023,"Xây dựng và phát triển dự án Mobile về trang thông tin - giáo dục của Công ty. Cùng tham gia quản lý phân tích và thiết kế các tính năng sản phẩm. Nghiên cứu công nghệ mới, đưa ra giải pháp áp dụng vào sản phẩm, dịch vụ của công ty. Phối hợp với đồng nghiệp trong nhóm để hoàn thành nhiệm vụ. "
Python,Công Ty Cổ Phần VCCorp,13 - 22 triệu,Hà Nội,2 năm,31/08/2023,"Thiết kế và phát triển backend có độ tin cậy, chịu tải cao cho hệ thống Dashboard của Public Cloud.Tham gia vào maintain, refactor, tối ưu hiệu năng các dịch vụ cũ.Tham gia vào review code.Xử lý các issue về security, performance cho các backend để đảm bảo hệ thống chạy ổn định."
Brse,CÔNG TY CỔ PHẦN LOTUS TECHNOLOGY SERVICES,Thoả thuận,Hà Nội,3 năm,15/09/2023,"Participating in various projects with Japanese clients. Managing the relationship and communication with the client and all stakeholders, ensuring the project is delivered to their satisfaction. Managing the delivery of the project according to the Project plan. Tracking projects and providing regular reports on project status to the project team and key stakeholders. Taking part in managing and adjusting for any changes in project scope, schedule. Taking part in identifying and mitigating potential risks."
Tech-Lead (Trưởng Nhóm Lập Trình),CÔNG TY TNHH 1 THÀNH VIÊN ISOFHCARE,"1,000 - 2,500 USD",Hà Nội,3 năm,14/09/2023,"Tiếp nhận yêu cầu phát triển từ các bên định hướng sản phẩm (BA, PO, PM..)Phân tích, góp ý, đưa ra các giải pháp xây dựng hệ thống BE/FEKiểm soát và duy trì hiệu năng hệ thống ổn địnhNghiên cứu & đề xuất những giải pháp nhằm tối ưu hóa hiệu năng hệ thốngQuản lý vận hành hệ thống phần mềmQuản lý đội ngũ lập trình viênReview khối lượng công việc cho team lập trìnhĐảm bảo chất lượng code của team lập trình"
Java,Công ty CP công nghệ và truyền thông SAMO,Tới 55 triệu,Hà Nội,4 năm,13/09/2023,"Tham gia phân tích về kiến trúc hệ thống và am hiểu cách tích hợp với các hệ thống khác với nhauSử dụng kiến thức chuyên sâu về kỹ thuật tại một lĩnh vực Frontend hoặc Backend để xử lý các bài toán technical trong teamTham gia đánh các giải pháp kiến trúc để đáp ứng được các yêu cầu về functional và non-functional.Phân tích, đánh giá các giải pháp và chọn ra giải pháp kỹ thuật và công nghệ phù hợp nhấtTham gia giải quyết các vấn đề, vướng mắc lớn cùng team phát triểnĐưa ra phương án giải quyết hoặc giải pháp kỹ thuật với các yêu cầu cụ thể cho sản phẩmPhối hợp chặt chẽ với nhóm Agile và các bộ phận khác để phát triển sản phẩm"
Backend Developer,Công ty CP Phần mềm MOR,Tới 40 triệu,Hà Nội,3 năm,13/09/2023,"- Nghiên cứu, phát triển, xây dựng hệ thống. - Tham gia vào phân tích, thiết kế các tính năng của phần mềm. - Hỗ trợ, cải thiện, tối ưu hóa hệ thống trong quá trình vận hành."
